Median House  Price - 2019,,,,,,,,,,,,,,,,
,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,prelim 2020,change,change,Growth PA,
MOUNT DUNEED,505000,267000,190000,480000,286000,532000,545000,425000,500000,555000,563000,565000,1,11,1.1,
MOUNT ELIZA,625000,732000,725000,680000,750000,777500,832000,950000,1137500,1220000,1157500,1280000,-5,85,6.4,
MOUNT EVELYN,340000,390500,400000,393000,406000,428500,493500,551000,640000,671500,636000,705500,-5,87,6.5,
MOUNT HELEN,307500,311000,355000,325000,344000,368000,342000,355000,376000,420000,418500,472500,0,36,3.1,
MOUNT MACEDON,476500,520000,512500,543000,662500,600000,635000,750000,665000,859000,775000,1036000,-10,63,5.0,
MOUNT MARTHA,605000,691000,690000,715500,727500,745000,780000,965000,1050000,1202500,1252500,1230000,4,107,7.5,
MOUNT PLEASANT,211000,239000,248500,259000,276500,269500,293500,297500,293000,350000,377500,400000,8,79,6.0,
MOUNT WAVERLEY,691500,806000,745000,733000,820000,950000,1268000,1265000,1420000,1320000,1267000,1350000,-4,83,6.2,
MULGRAVE,478500,550000,531000,533000,577500,627000,765500,786000,900500,860000,840000,928000,-2,76,5.8,
MURCHISON,166500,175000,165000,183000,186000,155000,165000,187000,254500,225000,244500,358500,9,47,3.9,
MURRUMBEENA,755500,835000,822000,785000,870000,982500,1204000,1286000,1420000,1350000,1241500,1495000,-8,64,5.1,
MURTOA,92500,85000,133000,108500,95000,110000,91000,97500,115000,110000,119000,132500,8,29,2.6,
MYRTLEFORD,190000,179000,219000,220000,220000,245000,242000,270500,265000,295000,315000,327500,7,66,5.2,
NAGAMBIE,210500,351500,248000,255000,312500,378000,360500,336000,330000,385000,414000,425000,7,97,7.0,
NARRE WARREN,321500,369000,364000,356000,370000,386000,430000,487500,590000,615500,590000,602500,-4,84,6.3,
NARRE WARREN NORTH,645000,710000,730000,660000,685000,822500,773000,900000,1108000,1180000,1075000,1185000,-9,67,5.2,
NARRE WARREN SOUTH,360500,405000,405000,405000,410000,440000,476000,530000,620000,636500,625000,643000,-2,73,5.7,
NATHALIA,165000,155000,150000,205000,165000,190500,178000,185000,232500,210000,229000,227500,9,39,3.3,
NATIMUK,128500,120000,142500,116000,166000,145000,161000,165500,249500,158500,148500,370000,-6,16,1.5,
NEERIM SOUTH,262500,240000,260000,265000,340000,336500,280000,330000,320000,406500,394000,655000,-3,50,4.1,
NELSON,187000,266500,240000,205000,224000,203500,257500,220000,249500,255000,247500,210000,-3,32,2.8,
NERRINA,300000,381000,387000,467500,455000,482500,522500,517500,570000,575000,617500,625000,7,106,7.5,
NEW GISBORNE,369000,465000,492000,475000,500000,510000,498000,545000,625000,757500,695000,715000,-8,88,6.5,
NEWBOROUGH,173000,192500,186000,213500,213000,215000,220000,224500,220000,250000,256000,252000,2,48,4.0,
NEWCOMB,229000,280000,275000,275000,280000,292000,290500,310000,375000,455000,435000,464000,-4,90,6.6,
NEWINGTON,253500,290500,290000,300000,320000,341000,345000,372500,422500,465000,495000,585000,6,95,6.9,
NEWLANDS ARM,280000,300000,332000,325000,320000,302000,332500,380000,380000,367500,444000,397000,21,59,4.7,
NEWPORT,560000,655000,680000,630000,695000,740000,825000,950000,1080000,1060000,1055000,1010000,0,88,6.5,
NEWSTEAD,197500,237500,243000,252000,300000,297500,365000,362000,420000,313000,436000,409500,39,121,8.2,
NEWTOWN (GREATER GEELONG),421000,559500,533000,527500,570000,620000,642500,712500,780000,843000,825000,1005000,-2,96,7.0,
NHILL,124000,101500,107000,110000,110000,125000,128000,140000,126500,149000,137000,107500,-8,10,1.0,
NICHOLS POINT,310000,217500,311500,232000,316500,304000,370000,396000,346000,470000,430000,435000,-9,39,3.3,
NIDDRIE,595000,740000,742500,666000,700000,747500,832500,910000,1095000,1070000,1070000,845000,0,80,6.0,
NOBLE PARK,350000,415000,410000,382000,400000,440000,510000,600000,680000,680000,629000,653000,-8,80,6.0,
NOBLE PARK NORTH,350000,415000,395000,370000,383000,420000,491500,563000,640000,660000,610000,656500,-8,74,5.7,
NOOJEE,201500,220000,200000,206500,167000,174500,290000,208000,155000,255000,224000,411500,-12,11,1.1,
NORLANE,160000,190500,203000,206500,202500,215000,216000,236500,290000,355000,349000,366500,-2,118,8.1,
NORTH BENDIGO,206000,218000,230000,267000,271000,280000,286000,279000,302000,310000,325000,363500,5,58,4.7,
NORTH GEELONG,247000,308000,292500,286500,277000,301000,335000,338500,422000,495000,500000,653500,1,102,7.3,
NORTH MELBOURNE,605000,805000,750000,775000,802500,832000,926000,1200000,1390000,1182500,1297500,1135000,10,114,7.9,
NORTH WONTHAGGI,265000,285000,287000,256000,230000,268500,275000,259500,293000,369000,389000,390000,5,47,3.9,
NORTHCOTE,669000,822000,780000,786000,818000,935000,1008500,1190000,1325000,1345000,1300000,1265000,-3,94,6.9,
NOTTING HILL,485000,563000,525500,547000,566500,660000,780000,872500,993000,957500,875500,1527000,-9,81,6.1,
NUMURKAH,171500,178000,190500,200500,195000,215000,219000,195000,219000,225000,252500,232000,12,47,3.9,
NUNAWADING,511000,641000,585000,591500,637500,721500,880000,970000,1090000,986000,950000,1185000,-4,86,6.4,
NYAH WEST,89000,97500,70000,116500,94000,107500,146500,130000,133500,135000,85000,110000,-37,-4,-0.5,
NYORA,182500,237500,216500,225000,222500,265000,245000,300000,260000,340000,370000,472000,9,103,7.3,
OAK PARK,505000,641000,590000,540000,576500,626000,660000,822500,872000,878500,840000,703000,-4,66,5.2,
OAKLEIGH,619000,741000,700000,645000,753500,801500,1002000,1050000,1210000,1250000,1101000,990000,-12,78,5.9,
OAKLEIGH EAST,553500,675000,640000,610000,672000,820000,995000,983000,1200000,992500,942000,935000,-5,70,5.5,
OAKLEIGH SOUTH,533500,630000,615000,590000,603000,700000,830000,890000,1030000,960000,908000,983000,-5,70,5.5,
OCEAN GROVE,385000,427500,479000,465000,459000,515000,516500,555000,637000,690000,695000,682500,1,81,6.1,
OFFICER,340000,385000,396000,429000,342000,339000,375000,440000,480000,550000,550000,585000,0,62,4.9,
OFFICER SOUTH,-,-,-,-,-,-,-,-,283000,569500,686000,864000,20,NA,NA,
OLINDA,378500,452500,520000,445000,496000,520000,553500,620000,705000,760000,748000,690000,-2,98,7.0,
ORBOST,155000,181000,151500,150000,156000,150000,145000,162500,159000,165000,185500,200000,12,20,1.8,
ORMOND,808000,970000,912500,857500,997500,1187500,1300000,1550000,1618000,1600000,1467500,1565000,-8,82,6.2,
OSBORNE,425000,468000,488500,507500,530000,540500,580000,640000,735000,757000,780000,815000,3,84,6.3,
OUYEN,110000,103000,110000,116500,75000,77500,105500,130000,130000,93000,99000,114000,6,-10,-1.0,
PAKENHAM,305000,335000,340000,335000,335000,350000,367000,400000,470000,520000,485000,520500,-7,59,4.7,
PARADISE BEACH,170000,152500,159500,212500,163500,178000,188500,200000,180000,199000,200000,249000,1,18,1.6,
PARK ORCHARDS,814000,945000,942500,953000,952500,1103000,1225000,1335000,1450000,1480000,1460000,1720000,-1,79,6.0,
PARKDALE,625000,755000,756000,677000,760000,860000,965000,1100000,1300000,1245000,1155000,1200500,-7,85,6.3,
PARKVILLE,1300000,1335000,1100000,1360000,1200000,1525000,1360500,2130000,2375000,2430000,1480000,1657500,-39,14,1.3,
PASCOE VALE,508000,609000,575000,540000,580000,655000,720000,805000,891000,901000,858500,920000,-5,69,5.4,
PASCOE VALE SOUTH,551000,655000,612500,629000,645500,701000,745000,840000,975000,955000,950000,929500,-1,72,5.6,
PATTERSON GARDENS,523000,582500,605000,610000,620000,672000,739000,812000,885000,890000,920000,935000,3,76,5.8,
PATTERSON LAKES,526000,621000,625000,730000,645000,734000,787500,810000,1021500,1022500,923000,1300000,-10,75,5.8,
PAYNESVILLE,275000,290000,323500,290000,283000,300000,302500,308000,335000,353000,339000,380000,-4,23,2.1,
PEARCEDALE,328000,390000,405000,425000,385000,445000,470000,534000,607000,657500,670000,695000,2,104,7.4,
PENSHURST,142500,147500,165000,83000,144000,132500,191000,152000,125000,165000,165000,130000,0,16,1.5,
PETERBOROUGH,267500,291500,410000,333000,287500,307500,296500,340000,315000,450000,419000,425000,-7,57,4.6,
PIONEER BAY,184500,235000,197500,235000,200000,220000,240000,216000,271500,308000,310000,319000,1,68,5.3,
PLENTY,715000,900000,730000,770000,773000,750000,915500,935000,1145000,1350000,1301000,959000,-4,82,6.2,
POINT COOK,400000,435000,445000,435000,450000,445000,465000,505000,592000,631500,640500,650000,1,60,4.8,
POINT LONSDALE,555000,695000,670000,700000,700000,707500,655000,641000,775000,840000,827500,890000,-1,49,4.1,
POOWONG,186500,210000,208000,185000,215000,218000,240000,325000,286000,315000,443000,285000,41,138,9.0,
POREPUNKAH,257500,320000,276000,285000,347000,280000,323000,330000,447000,464500,535000,467500,15,108,7.6,
PORT ALBERT,173500,250000,180000,235000,262500,190000,197500,218500,270000,240000,250000,461000,4,44,3.7,
PORT FAIRY,331500,392000,380000,410000,400000,425000,447500,473500,500000,651000,630000,632500,-3,90,6.6,
PORT FRANKLIN,215000,216000,205000,232000,190000,173500,277500,207500,280000,257000,302500,323500,18,41,3.5,
PORT MELBOURNE,845000,1017500,915000,960000,995000,917500,1252500,1380000,1497500,1488000,1375000,1780000,-8,63,5.0,
PORT WELSHPOOL,186000,205000,195000,266000,201500,244000,200000,380000,247500,295000,315000,365000,7,69,5.4,
PORTARLINGTON,347500,380000,425000,389000,390000,414500,409000,460000,515000,640000,621500,619000,-3,79,6.0,
PORTLAND,195000,220000,236500,227500,235000,210000,220000,220000,230000,234500,267500,320000,14,37,3.2,
PORTLAND NORTH,225000,115000,215000,226500,300000,248000,330000,340000,360000,367500,276000,541000,-25,23,2.1,
PORTSEA,1100000,1387500,1625000,1398000,1195000,1305000,1800000,1701000,1925000,2180000,1950000,2515000,-11,77,5.9,
PRAHRAN,879000,940000,955000,932500,990000,1175000,1350000,1436000,1527500,1578000,1510000,1785000,-4,72,5.6,
PRESTON,518000,615000,602000,580000,632500,690000,791000,882000,996000,980000,936500,1010000,-4,81,6.1,
PRINCES HILL,871000,1027500,967500,928500,1216500,1210000,1280000,1555000,1767500,1650000,2035000,1375500,23,134,8.9,
PYRAMID HILL,101000,122500,91000,100000,112500,117000,112500,112500,112500,100000,120000,115000,20,19,1.7,
QUARRY HILL,251500,295500,292500,300000,385000,355000,377500,349000,362000,407500,395000,369000,-3,57,4.6,
QUEENSCLIFF,579500,680000,590000,697500,630000,695000,700000,795000,763000,950000,950000,990000,0,64,5.1,
RAINBOW,69000,70000,71500,69000,62000,77000,68000,59500,82500,99000,75000,77500,-24,9,0.8,
RAWSON,156500,157000,161000,141500,160500,100000,147000,151000,146500,164000,156000,120000,-5,0,0.0,
RAYMOND ISLAND,242000,277500,262500,310000,297500,280000,285000,330000,289500,360000,300000,525000,-17,24,2.2,
RED CLIFFS,145000,160000,170000,157000,163000,157500,175000,165000,223500,211500,217500,240000,3,50,4.1,
REDAN,197000,230000,227500,237000,250000,245000,247000,255000,287500,330000,357000,365000,8,81,6.1,
RESEARCH,536500,614500,657000,622500,605500,685000,686000,825500,950000,915000,930000,1515000,2,73,5.7,
RESERVOIR,430000,520000,500000,468500,510000,541000,615000,710000,816000,790000,750000,827000,-5,74,5.7,
RHYLL,400000,410000,415000,400000,393000,482000,402000,460000,527500,657500,565000,510000,-14,41,3.5,
RICHMOND,726000,875500,825000,823000,900000,961000,1150000,1265000,1302500,1311000,1255000,1220000,-4,73,5.6,
RIDDELLS CREEK,310000,387500,449000,380000,450000,417500,456500,500000,580000,675000,695000,680000,3,124,8.4,
RINGWOOD,455500,553500,506000,503500,551000,660000,777500,837500,910500,900000,813500,899000,-10,79,6.0,
RINGWOOD EAST,442000,530500,520000,490000,547000,612000,750000,806000,901000,881000,809000,975500,-8,83,6.2,
RINGWOOD NORTH,488500,580000,569000,564000,631000,662000,783500,844000,960500,920000,871000,870000,-5,78,6.0,
RIPPLESIDE,372500,590000,510000,414000,585000,530000,640000,739000,671500,750000,810000,768500,8,117,8.1,
ROBINVALE,185000,145000,136000,176000,150000,160000,184500,170000,198500,220000,225000,198500,2,22,2.0,
ROCHESTER,175000,155000,185000,210000,189500,215000,235000,239000,242500,236000,255000,250000,8,46,3.8,
ROCKBANK,215000,237000,251000,262000,309000,280000,300000,347000,446000,500000,497000,480000,-1,131,8.7,
ROMSEY,302500,350000,360000,367500,387500,396000,420000,428000,470000,550000,580500,627500,6,92,6.7,
ROSANNA,586000,706000,725000,652500,717500,781500,905000,980000,1175000,1100000,1042500,1122500,-5,78,5.9,
ROSEBUD,308000,355000,360000,350000,366000,365000,389000,445000,536000,590000,545000,587500,-8,77,5.9,
ROSEBUD SOUTH,347500,419500,460000,450000,425000,500000,514500,546000,647500,710000,682500,842500,-4,96,7.0,
ROSEDALE,165000,185000,189000,208500,215000,215000,197000,230000,255000,280000,247000,210000,-12,50,4.1,
ROWVILLE,467500,540000,527500,530000,570000,617500,710000,778000,867000,840000,820500,801500,-2,75,5.8,
ROXBURGH PARK,340000,371000,360000,355000,365000,385000,400000,435000,515000,546000,540000,577500,-1,59,4.7,
RUSHWORTH,150000,156500,155000,190000,161000,158000,177000,200000,192500,198000,197500,185000,0,32,2.8,
RUTHERGLEN,176000,175000,207000,235000,232000,195000,230000,255000,262000,270000,280000,330000,4,59,4.8,
RYE,380000,436000,440000,422000,425000,460000,488000,550000,658000,705000,690000,700500,-2,82,6.1,
SAFETY BEACH,409000,497500,553000,551000,515000,516500,595000,665000,780000,849000,785000,980000,-8,92,6.7,
SAILORS GULLY,192500,213500,265000,257500,253000,262500,235000,225000,232000,290000,280000,211000,-3,45,3.8,
SALE,250000,276500,291500,274000,290000,300000,298000,295500,300000,308000,325000,341000,6,30,2.7,
SAN REMO,362000,445000,411000,402500,410000,407000,420000,460000,497000,515000,554500,670000,8,53,4.4,
SANCTUARY LAKES,455500,465000,475000,512500,480000,482500,570000,503000,629000,630000,620000,600000,-2,36,3.1,
SANDHURST,353500,460000,509000,510000,545000,549000,617500,678500,730000,837500,815000,785000,-3,131,8.7,
SANDRINGHAM,1032500,1200000,1202500,1175000,1210000,1305000,1490000,1760000,1870000,1850000,1650000,1770000,-11,60,4.8,
SANDY POINT,300000,338000,375000,355000,352500,380000,370000,359000,407500,410000,410000,517500,0,37,3.2,
SASSAFRAS,427500,507000,497500,397500,632500,556000,562000,653500,775500,750000,805000,768000,7,88,6.5,
SCORESBY,396000,488000,472000,480000,509000,570000,661000,700000,878500,835000,767000,790000,-8,94,6.8,
SEA LAKE,65000,62500,112000,65000,80000,75000,95000,75000,70000,110000,100000,117500,-9,54,4.4,
SEABROOK,350000,415000,407500,403500,422500,402500,456000,509000,635000,672500,626500,655000,-7,79,6.0,
SEAFORD,355000,412500,415000,392500,419000,450000,475000,581500,700500,695000,655000,681500,-6,85,6.3,
SEAHOLME,663000,565000,630000,600000,641000,670000,802500,872500,1157500,1015000,1020000,1270000,0,54,4.4,
SEASPRAY,145000,239000,165000,192500,152000,164000,240000,175000,215000,210000,265000,443000,26,83,6.2,
SEBASTOPOL,212000,226000,228000,239500,242000,235500,244500,248000,256000,289500,315000,350000,9,49,4.0,
SEDDON,515000,645500,620500,670000,675000,730000,830000,934500,982500,1018500,960000,1038000,-6,86,6.4,
SELBY,385000,407000,421500,410000,420000,420000,469500,527500,600000,637500,601500,680000,-6,56,4.6,
SEVILLE,335500,387500,380000,380000,400000,397500,450000,511500,611500,634500,620000,625500,-2,85,6.3,
SEVILLE EAST,317500,342500,364500,342500,339500,350000,395000,440000,482500,551500,580000,NA,5,83,6.2,
SEYMOUR,184000,215000,190000,220000,220000,213000,225000,242500,277000,295000,300000,300000,2,63,5.0,
SHEPPARTON,228500,251000,242500,240000,247000,243000,250000,265000,261000,275000,282000,283000,3,23,2.1,
SHEPPARTON NORTH,-,360000,330500,284000,346000,375000,348000,361000,347000,334000,393000,453000,18,0,NA,
SHOREHAM,692500,581000,585000,618000,607000,620000,903000,868500,970000,1160000,1500000,1560000,29,117,8.0,
SILVERLEAVES,390000,497500,500000,505000,508000,460500,484000,446500,515000,721000,618500,571000,-14,59,4.7,
SKENES CREEK,450000,500000,370000,532500,465000,435000,491500,520000,517000,580000,667500,855000,15,48,4.0,
SKIPTON,110000,152000,160000,149000,155000,117500,137000,169000,187500,159500,200000,212000,25,82,6.2,
SKYE,330000,375000,385000,390000,395000,413000,430000,480000,570000,611000,600000,630000,-2,82,6.2,
SMITHS BEACH,325000,442500,380000,430000,372500,390000,455000,470000,458500,589000,624500,560000,6,92,6.7,
SMYTHESDALE,127500,210000,259000,207500,260000,207500,225000,250000,315000,290000,340000,121000,17,167,10.3,
SOLDIERS HILL,227500,265000,278000,292500,283000,341000,310000,375000,423500,447500,480000,548000,7,111,7.8,
SOMERS,495000,615000,615000,692500,657500,755000,696500,755500,820000,888500,950000,835000,7,92,6.7,
SOMERVILLE,326000,370000,375000,360000,385000,395000,425000,465000,580000,615000,600000,603000,-2,84,6.3,
SORRENTO,680000,850000,905000,730000,770000,795000,859000,1130000,1300000,1377500,1465000,1360000,6,115,8.0,
SOUTH DUDLEY,210500,235500,230000,216500,192000,200500,221500,256000,233500,270000,339000,297500,26,61,4.9,
SOUTH GEELONG,384500,420000,382500,430000,420500,470000,425000,495000,650000,676000,702500,687500,4,83,6.2,
SOUTH KINGSVILLE,509000,650000,620000,610000,619500,671000,742000,903000,980000,1000000,859000,990000,-14,69,5.4,
SOUTH MELBOURNE,918500,960000,925000,930000,1030000,1200000,1310000,1595000,1520000,1465000,1355000,1412500,-8,48,4.0,
SOUTH MORANG,365000,411000,410000,420000,415000,420000,450000,502000,610500,635000,625500,655000,-1,71,5.5,
SOUTH YARRA,1293000,1375000,1125000,1238000,1352500,1450000,1680000,1875000,2015000,1851000,1767500,1817500,-4,37,3.2,
SPOTSWOOD,507000,635000,602500,655000,680000,640000,795000,917500,1027500,1080000,960000,1135000,-11,89,6.6,
SPRING GULLY,296000,294000,320000,340000,345000,350000,350000,350000,390000,400000,386500,375000,-3,30,2.7,
SPRINGVALE,408000,490000,470000,448000,451500,530000,629500,685000,750000,780000,743000,800000,-5,82,6.2,
SPRINGVALE SOUTH,374000,450500,420000,408000,430000,475000,562000,630000,720000,720000,678000,712000,-6,81,6.1,
ST ALBANS,310000,385000,387000,348000,350000,373500,428000,500000,621000,626500,590000,590000,-6,90,6.6,
ST ALBANS PARK,268500,298000,310000,307500,335000,330000,329000,331000,379000,450000,422000,445000,-6,57,4.6,
ST ANDREWS BEACH,522500,495000,550000,714000,480000,495000,560000,695000,855000,902500,930000,992500,3,78,5.9,
ST ARNAUD,125000,131000,125000,123000,140000,145000,141000,142500,145000,145000,175000,155000,21,40,3.4,
ST HELENA,490500,562000,570000,550500,612500,623000,711000,800000,893500,910000,905000,990000,-1,85,6.3,
ST KILDA,825000,930000,860000,861000,892000,1225000,1164000,1305000,1551000,1755000,1600000,1271500,-9,94,6.8,
ST KILDA EAST,861000,1041000,962500,993000,1050500,1037500,1382500,1677500,1460000,1620000,1560000,1709500,-4,81,6.1,
ST KILDA WEST,1360000,1925000,1700000,1262500,1142500,2235000,2013000,1797000,2380000,1942500,2078500,NA,7,53,4.3,
ST LEONARDS,285000,350000,389000,363000,350000,357000,375000,421500,469000,571500,562500,501000,-2,97,7.0,
STANHOPE,133000,160000,152000,175000,150000,131000,152500,147000,181000,161500,174000,180000,8,31,2.7,
STAWELL,145000,155000,147000,167000,162500,172500,177000,177000,188000,190000,189000,220000,-1,30,2.7,
STRATFORD,230000,207500,242500,267500,230000,261500,260500,272500,265000,258000,316500,320000,23,38,3.2,
STRATHDALE,297500,331000,369500,361000,392500,380000,410500,445000,380000,420000,453500,543000,8,52,4.3,
STRATHFIELDSAYE,305000,357000,370000,359000,377000,397500,408000,425000,455000,444000,476500,533500,7,56,4.6,
STRATHMERTON,150000,165000,107500,164500,166000,172500,190000,182500,140000,187500,195000,NA,4,30,2.7,
STRATHMORE,750000,870000,820000,800000,827500,865000,997500,1140000,1230000,1357500,1310000,995000,-3,75,5.7,
STRATHMORE HEIGHTS,466500,598500,700000,605000,621000,640000,700000,808000,970000,885000,800000,650000,-10,71,5.5,
STRATHTULLOH,-,-,-,191000,350000,440000,425000,430000,359000,425000,515000,449500,21,NA,NA,
STUDFIELD,430000,525000,470000,480500,532500,617500,785000,853000,957500,906000,811000,870000,-10,89,6.6,
SUNBURY,297000,343000,360000,350000,355000,360000,370000,395000,492000,545000,535000,555000,-2,80,6.1,
SUNDERLAND BAY,257000,315000,280000,265000,324500,333000,287000,360000,357500,455000,412000,511000,-9,60,4.8,
SUNNYCLIFFS,202500,109000,70000,200000,195000,307500,185000,220000,228000,218000,239000,245000,10,18,1.7,
SUNSET STRIP,250000,286000,286500,286500,301500,310000,301500,340000,345000,390000,460000,510500,18,84,6.3,
SUNSHINE,390000,458000,430000,400000,435000,483500,530500,675000,765000,735000,720000,830000,-2,85,6.3,
SUNSHINE NORTH,360000,425000,420000,395000,400000,425500,495000,560000,651000,682500,630000,652500,-8,75,5.8,
SUNSHINE WEST,344500,400000,391500,375000,384500,395000,450000,520000,639500,635000,635000,648000,0,84,6.3,
SURF BEACH,289000,332000,350000,350000,375000,360000,355000,414000,425000,480000,510000,510000,6,77,5.9,
SURREY HILLS,1012000,1204000,1212000,1121500,1323000,1450000,1750000,1800500,2170000,1900000,1886500,1650000,-1,86,6.4,
SWAN HILL,235500,230000,225000,225000,225000,230000,248000,262500,252000,267000,285000,315000,7,21,1.9,
SYDENHAM,370000,399000,420500,415000,425000,415000,440000,505000,590000,620000,599500,600500,-3,62,4.9,
SYNDAL,760000,880500,850000,778000,950500,1160000,1505000,1410000,1585000,1530000,1524500,2147500,0,101,7.2,
TALLANGATTA,181000,186000,175000,185000,154000,200000,233000,216000,275000,245000,251500,325000,3,39,3.3,
TARNEIT,325000,360000,369000,356000,370000,395000,400000,445000,515000,568500,555000,549000,-2,71,5.5,
TATURA,194500,220000,215000,229500,230000,237500,233000,228000,262000,250000,276500,275000,11,42,3.6,
TAWONGA,235000,265000,260000,231000,310000,375000,235000,275000,265000,354000,460000,370000,30,96,6.9,
TAWONGA SOUTH,245000,216000,230000,255000,219500,235000,257500,298000,254000,310000,400000,377500,29,63,5.0,
TAYLORS HILL,375500,425000,420000,480000,487500,510000,530000,600000,686000,723000,702500,680500,-3,87,6.5,
TAYLORS LAKES,420000,467500,500000,477500,490000,510000,561500,635000,720000,763500,748500,742500,-2,78,6.0,
TECOMA,375000,400000,427500,412000,415000,478000,510000,601500,709000,700000,662500,727500,-5,77,5.9,
TEMPLESTOWE,727500,805000,804000,811000,865000,951500,1180000,1270000,1415000,1308000,1276500,1553000,-2,75,5.8,
TEMPLESTOWE LOWER,630000,730000,711500,670000,750000,830000,1060000,1105500,1302000,1150000,1080000,1215000,-6,71,5.5,
TERANG,153500,179000,160000,155000,161500,195000,206500,150000,188500,194000,190000,203500,-2,24,2.2,
THE BASIN,370000,430000,400000,410000,430000,463500,550000,595000,610000,682500,695000,801000,2,88,6.5,
THE HONEYSUCKLES,154000,177500,236000,215000,214000,190000,160000,237000,265000,290000,336000,262500,16,118,8.1,
THE PATCH,390000,444500,470000,417500,393500,486500,505000,570500,665000,730000,755000,NA,3,94,6.8,
THOMASTOWN,354500,418000,400000,365000,390000,420000,436000,493000,653000,636000,592000,629000,-7,67,5.3,
THOMSON (GREATER GEELONG),215000,270000,281500,273500,282000,290000,290000,308500,365000,411000,400500,425000,-3,86,6.4,
THORNBURY,602500,720000,690000,715500,729000,840000,918000,1079500,1225000,1145000,1135000,1158000,-1,88,6.5,
THORNHILL PARK,-,-,-,-,-,-,-,720000,447000,530000,535000,550000,1,NA,NA,
TIMBOON,202500,187000,211500,212500,184000,210000,240000,215000,220000,247000,260000,405000,5,28,2.5,
TONGALA,158500,158500,154000,175000,185000,179000,165000,204000,200000,275000,234500,212500,-15,48,4.0,
TOONGABBIE,221000,260000,230000,212500,234000,261500,235000,315000,286500,280500,270000,225000,-4,22,2.0,
TOORA,155000,175000,220000,210000,171500,155000,230000,195000,190000,241500,275000,222500,14,77,5.9,
TOORADIN,317000,420000,365000,380000,420000,480000,471000,411000,599000,702000,700000,535000,0,121,8.3,
TOORAK,2710000,2590000,2617500,2775000,2875000,3391000,3987500,4900000,5100000,4700000,4361000,4500000,-7,61,4.9,
TOOTGAROOK,315000,370000,373500,390000,387000,402500,405000,460000,591000,600500,580000,550000,-3,84,6.3,
TORQUAY,475000,533000,563500,565000,580000,580000,620000,665000,720000,810000,820000,800000,1,73,5.6,
TRAFALGAR,216000,248500,271500,285000,283000,311000,310000,312500,333500,375000,397500,420000,6,84,6.3,
TRARALGON,230000,257000,270000,260000,269000,275000,273000,268500,288500,298000,325000,311000,9,41,3.5,
TRARALGON EAST,380000,388000,405000,402500,435000,440000,432500,445000,455000,425000,470000,474500,11,24,2.1,
TRAVANCORE,640000,673000,672000,810000,905000,848000,1000000,1305000,1415000,1475000,1125000,NA,-24,76,5.8,
TRENTHAM,237500,300000,287000,331500,407500,340000,422500,455000,475000,603000,614000,632500,2,159,10.0,
TRUGANINA,325000,345000,357000,341500,360000,390000,391000,430000,519500,574500,575000,580000,0,77,5.9,
TULLAMARINE,380000,440000,420000,393500,395000,412000,472500,530000,655000,665500,612000,645500,-8,61,4.9,
TYABB,292500,347000,350500,372500,370500,366000,395000,430000,510500,548000,580500,560000,6,99,7.1,
TYLDEN,215000,322000,347500,325000,338500,410000,350000,372500,412500,500000,492500,505000,-2,129,8.6,
UPPER FERNTREE GULLY,350000,427500,400000,410000,435000,500000,515000,582000,685000,700000,642500,700000,-8,84,6.3,
UPWEY,380500,415000,415000,422500,425000,476000,515000,585000,680000,710000,702500,792500,-1,85,6.3,
VENTNOR,383500,380000,365000,363500,370000,377500,423500,420000,465000,490000,535000,560000,9,40,3.4,
VENUS BAY,238000,239000,265500,238500,242500,237000,236000,258000,262500,305000,330000,350000,8,39,3.3,
VERMONT,520000,610000,552500,571000,610000,725000,855000,900000,1057500,979000,937000,1038000,-4,80,6.1,
VERMONT SOUTH,590000,694500,674000,654500,722500,815000,1000000,1082500,1200500,1150000,1166500,1220000,1,98,7.1,
VIEWBANK,524500,631500,604500,589000,630000,725000,829500,920000,1000000,933000,920000,980000,-1,75,5.8,
VIOLET TOWN,180000,172500,170000,204500,215000,199500,200000,238500,217000,242500,287500,279000,19,60,4.8,
WAHGUNYAH,190000,245000,190000,244000,190000,213500,267000,290000,270000,240000,355000,395000,48,87,6.5,
WALKERVILLE,176000,235000,229500,280000,279000,230000,247000,283500,275000,266500,334500,285000,26,90,6.6,
WALLAN,288000,330000,350000,335000,341500,356500,362000,375000,425000,490000,477500,485000,-3,66,5.2,
WALLAN EAST,230000,292500,305000,317000,310000,306000,309500,352500,410000,489000,450000,445000,-8,96,6.9,
WANDANA HEIGHTS,460000,540000,592500,557500,540000,582000,590000,592500,645000,700000,766500,990000,10,67,5.2,
WANDIN NORTH,335000,411000,380500,379000,407500,439500,480000,496500,665000,665000,627500,695000,-6,87,6.5,
WANGARATTA,228500,241000,240000,240000,240000,255000,272000,270500,270000,320000,319000,325000,0,40,3.4,
WANTIRNA,455000,545000,528000,515000,576000,667500,764000,801000,953000,915000,860000,921000,-6,89,6.6,
WANTIRNA SOUTH,535000,575000,582000,542500,579000,676500,829000,875000,1005000,1000000,988500,1085000,-1,85,6.3,
WARBURTON,259000,300000,315000,300000,310000,315000,325000,366000,418000,495000,515000,530000,4,99,7.1,
WARNEET,275000,332500,295000,284000,337000,355000,395000,390000,485000,534000,512500,600000,-4,86,6.4,
WARRACKNABEAL,90000,88000,115000,105000,107500,110000,110000,123500,113000,112500,118000,123000,5,31,2.7,
